,source_id,source_name,author,title,description,url,url_to_image,published_at,content,key_word
581,techcrunch,TechCrunch,Lucas Matney,"Bank of America is bringing VR instruction to its 4,000 banks","As consumer VR begins to have a moment following years of heavy investment from Facebook and other tech giants, corporate America is similarly beginning to find more utility in the technology, as well. Bank of America announced today that they’ll be working w…",http://techcrunch.com/2021/03/03/bank-of-america-is-bringing-vr-instruction-to-its-4000-banks/,https://techcrunch.com/wp-content/uploads/2019/12/GettyImages-1035176244.jpg?w=600,2021-03-03T22:13:52Z,"As consumer VR begins to have a moment following years of heavy investment from Facebook and other tech giants, corporate America is similarly beginning to find more utility in the technology, as wel… [+2500 chars]",facebook
582,techcrunch,TechCrunch,Manish Singh,WhatsApp rolls out voice and video calls to desktop app,"WhatsApp is rolling out support for voice and video calling to its desktop app, the Facebook-owned messaging service said Thursday, providing relief to countless people sitting in front of computers who have had to reach for their phone every time their Whats…",http://techcrunch.com/2021/03/04/whatsapp-rolls-out-voice-and-video-call-support-to-desktop-app/,https://techcrunch.com/wp-content/uploads/2021/03/whatsapp-desktop-video-call-feature.jpg?w=720,2021-03-04T08:00:47Z,"WhatsApp is rolling out support for voice and video calling to its desktop app, the Facebook-owned messaging service said Thursday, providing relief to countless people sitting in front of computers … [+2219 chars]",facebook
583,techcrunch,TechCrunch,Natasha Lomas,Facebook’s Oversight Board already ‘a bit frustrated’ — and it hasn’t made a call on Trump ban yet,"The Facebook Oversight Board (FOB) is already feeling frustrated by the binary choices it’s expected to make as it reviews Facebook’s content moderation decisions, according to one of its members who was giving evidence to a UK House of Lords committee today …",http://techcrunch.com/2021/03/02/facebooks-oversight-board-already-a-bit-frustrated-and-it-hasnt-made-a-call-on-trump-ban-yet/,https://techcrunch.com/wp-content/uploads/2020/12/facebook-oversight-scrutiny.jpg?w=711,2021-03-03T01:05:46Z,"The Facebook Oversight Board (FOB) is already feeling frustrated by the binary choices it’s expected to make as it reviews Facebook’s content moderation decisions, according to one of its members who… [+16472 chars]",facebook
584,techcrunch,TechCrunch,Sarah Perez,Instagram launches ‘Live Rooms’ for live broadcasts with up to four creators,"Instagram today announced it’s adding a much-requested feature to its app with the launch of “Live Rooms,” which allow up to four people to broadcast live together at the same time. Previously, the app only allowed users to live stream with one other person, …",http://techcrunch.com/2021/03/01/instagram-launches-live-rooms-for-live-broadcasts-with-up-to-four-creators/,https://techcrunch.com/wp-content/uploads/2021/03/RoomsLaunch1.png?w=711,2021-03-01T16:00:56Z,"Instagram today announced it’s adding a much-requested feature to its app with the launch of “Live Rooms,” which allow up to four people to broadcast live together at the same time. Previously, the a… [+4277 chars]",facebook
585,wired,Wired,"Daniel Kreiss, Shannon McGregor",Facebook's Oversight Board Must Uphold the Ban on Trump,It's not just about penalizing the former president. It's about protecting democracy—in the US and around the world.,https://www.wired.com/story/facebook-oversight-board-trump-ban/,"https://media.wired.com/photos/6039699be9471794a22f0a88/191:100/w_1280,c_limit/Oped-Facebook-Oversight-Trump-1231037349%25202.jpg",2021-03-01T13:00:00Z,"In the coming weeks, the Facebook Oversight Board will rule on Donald Trumps indefinite suspension from the platform. This will surely be the Boards most important ruling to-date. The Boards specific… [+4898 chars]",facebook
586,techcrunch,TechCrunch,Natasha Lomas,Competition challenge to Facebook’s ‘superprofiling’ of users sparks referral to Europe’s top court,A German court that’s considering Facebook’s appeal against a pioneering pro-privacy order by the country’s competition authority to stop combining user data without consent has said it will refer questions to Europe’s top court. In a press release today the …,http://techcrunch.com/2021/03/24/competition-challenge-to-facebooks-superprofiling-of-users-sparks-referral-to-europes-top-court/,https://techcrunch.com/wp-content/uploads/2018/10/gettyimages-473860648-1.jpg?w=598,2021-03-24T17:45:50Z,A German court that’s considering Facebook’s appeal against a pioneering pro-privacy order by the country’s competition authority to stop combining user data without consent has said it will refer qu… [+3802 chars],facebook
587,engadget,Engadget,Daniel Cooper,Instagram Lite reboot squeezes the app into a 2MB package,"Facebook is today relaunching Instagram Lite, a stripped-down version of the image-sharing app designed for users in emerging markets. Developed by Facebook’s team in Tel Aviv, the birthplace of Facebook Lite and Messenger Lite, the app’s package size is just…",https://www.engadget.com/instagram-lite-2021-relaunch-110016873.html,https://s.yimg.com/uu/api/res/1.2/juVluaxBxohkiW5ynGYjQg--~B/aD0yMTYwO3c9MzI0MjthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2021-03/e8977ad0-80cb-11eb-bfff-c884b4eb02ce.cf.jpg,2021-03-10T11:00:16Z,"Facebook is today relaunching Instagram Lite, a stripped-down version of the image-sharing app designed for users in emerging markets. Developed by Facebooks team in Tel Aviv, the birthplace of Faceb… [+1927 chars]",facebook
588,the-verge,The Verge,Adi Robertson,YouTube will lift Trump’s suspension when ‘the risk of violence has decreased’,"YouTube CEO Susan Wojcicki says former President Donald Trump’s suspension on YouTube, implemented after the January 6th attack on the US Capitol, will be lifted when the risk of him inciting violence has lowered.",https://www.theverge.com/2021/3/4/22313839/youtube-trump-ban-lift-susan-wojcicki-atlantic-council-interview,https://cdn.vox-cdn.com/thumbor/kb74xvBIK-DhOuKatn7dWQunBoc=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/10581019/acastro_180403_1777_youtube_0002.jpg,2021-03-04T21:02:58Z,"Hes still permanently banned from Facebook and Twitter
Illustration by Alex Castro / The Verge
YouTube CEO Susan Wojcicki says the site will lift former President Donald Trumps suspension when the … [+1994 chars]",facebook
589,engadget,Engadget,https://www.engadget.com/about/editors/chris-velazco,Judge equates encrypted chats with private thoughts in would-be kidnapping case,"Three men who plotted to kidnap Michigan governor Gretchen Whitmer will face charges of gang membership, felony firearm possession and providing material support for terrorist acts, but not making terrorist threats. According to a report from the Detroit News…",https://www.engadget.com/michigan-judge-private-chats-gretchen-whitmer-plot-terrorist-threat-170845492.html,https://s.yimg.com/os/creatr-uploaded-images/2021-03/ff4da860-9176-11eb-afb6-21842fb7f5c0,2021-03-30T17:08:45Z,"Three men who allegedly plotted to kidnap Michigan governor Gretchen Whitmer will face charges of gang membership, felony firearm possession and providing material support for terrorist acts, but not… [+2350 chars]",facebook
590,engadget,Engadget,Igor Bonifacic,LinkedIn stops collecting tracking data ahead of iOS 14 changes,LinkedIn will stop collecting IDFA data on iOS. The move comes ahead of a policy change Apple will implement with the release of iOS 14.5 later this year that will require developers to ask someone’s permission before they use that data to track them across a…,https://www.engadget.com/linkedin-stops-idfa-collection-before-ios-14-205531990.html,https://s.yimg.com/uu/api/res/1.2/mN0gnTOzGXZmNPxRzRenNQ--~B/aD0yOTMzO3c9NDQwMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2021-03/2a6a6900-7d29-11eb-bcfd-b281875d0d54.cf.jpg,2021-03-04T20:55:31Z,LinkedIn will stop collecting IDFA data on iOS. The move comes ahead of a policy change Apple will implement with the release of iOS 14.5 later this year that will require developers to ask someones … [+945 chars],facebook
